video_id,track_id,auto_label,human_label
Láng_Hạ_-_Thái_Hà__16h15_15_9_22_,38838,left,left
Hàng_Bông_-_Hàng_Trống__16h30_15_9_22_,22764,straight,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_5_9_22_,60271,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h15_15_9_22_,26912,left,left
Phố_Huế_Trần_Khát_Chân__7h30_14_9_22_,104912,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_25_9_22_,50404,right,right
Phố_Huế_Trần_Khát_Chân__7h30_9_9_22_,111504,straight,left
Lê_Duẩn_-_Nguyễn_Thái_Học__16h30_5_9_22_,53014,u_turn,unsure
Phố_Huế_Trần_Khát_Chân__17h30_11_9_22_,94625,straight,right
Láng_Hạ_-_Thái_Hà__16h30_7_9_22_,45184,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h_7_9_22_,71144,straight,straight
Hàng_Bông_-_Hàng_Trống__16h_25_9_22_,24370,left,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h_15_9_22_,60871,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h_15_9_22_,34494,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_9_9_22_,111136,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_20_9_22_,101271,right,straight
Hàng_Bông_-_Hàng_Trống__16h15_7_9_22_,21779,straight,straight
Giảng_Võ_-_Láng_Hạ__16h_30_7_9_22_,18864,straight,straight
Láng_Hạ_-_Thái_Hà__16h_7_9_22_,48937,left,left
Phố_Huế_Trần_Khát_Chân__12h_17_9_22_,88722,left,straight
Phố_Huế_Trần_Khát_Chân__7h30_16_9_22_,106201,right,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_15_9_22_,49562,straight,straight
Giảng_Võ_-_Láng_Hạ__16h15_15_9_22_,11401,right,unsure
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_25_9_22_,59430,u_turn,unsure
Giảng_Võ_-_Láng_Hạ__16h_25_9_22_,16782,straight,unsure
Phố_Huế_Trần_Khát_Chân__17h30_17_9_22_,98655,straight,unsure
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_25_9_22_,59322,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_11_9_22_,94986,right,right
Phố_Huế_Trần_Khát_Chân__7h30_28_9_22_,108454,left,left
Hàng_Bông_-_Hàng_Trống__16h30_7_9_22_,23382,straight,right
Phố_Huế_Trần_Khát_Chân__12h_12_9_22_,87105,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h30_25_9_22_,52952,straight,unsure
Phố_Huế_Trần_Khát_Chân__17h30_18_9_22_,100335,right,straight
Giảng_Võ_-_Láng_Hạ__16h_30_15_9_22_,17818,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_20_9_22_,101679,straight,unsure
Lê_Duẩn_-_Nguyễn_Thái_Học__16h30_5_9_22_,53650,left,straight
Láng_Hạ_-_Thái_Hà_1__16h_7_9_22_,36385,straight,straight
Láng_Hạ_-_Thái_Hà__16h30_15_9_22_,42356,straight,straight
Giảng_Võ_-_Láng_Hạ__16h_7_9_22_,19214,straight,unsure
Lý_Thường_Kiệt_-_Hàng_Bài__16h_25_9_22_,69456,straight,unsure
Phố_Huế_Trần_Khát_Chân__17h30_13_9_22_,96975,straight,unsure
Lê_Duẩn_-_Nguyễn_Thái_Học__16h30_15_9_22_,51423,left,right
Láng_Hạ_-_Thái_Hà__16h_15_9_22_,46364,right,straight
Phố_Huế_Trần_Khát_Chân__7h30_7_9_22_,109251,left,left
Phố_Huế_Trần_Khát_Chân__15h06_24_9_22_,92293,left,left
Phố_Huế_Trần_Khát_Chân__17h30_17_9_22_,98620,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h15_7_9_22_,66147,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_7_9_22_,109402,left,left
Hàng_Bông_-_Hàng_Trống__16h_30_25_9_22_,25461,right,right
Phố_Huế_Trần_Khát_Chân__17h30_18_9_22_,100062,right,unsure
Lý_Thường_Kiệt_-_Bà_Triệu__16h_25_9_22_,62776,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_15_9_22_,54184,right,right
Giao_thông_nội_đô_HN__20221003-102452_,9251,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_11_9_22_,85474,left,left
Phố_Huế_Trần_Khát_Chân__12h_11_9_22_,85217,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h_25_9_22_,69069,right,straight
Hàng_Bông_-_Hàng_Trống__16h16_15_9_22_,22360,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h_15_9_22_,34092,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h30_15_9_22_,52147,straight,straight
Giảng_Võ_-_Láng_Hạ__16h15_25_9_22_,11746,left,straight
Phố_Huế_Trần_Khát_Chân__12h_10_9_22_,84303,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_25_9_22_,50488,right,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h_15_9_22_,68862,straight,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_25_9_22_,59316,left,straight
Giảng_Võ_-_Láng_Hạ__16h_25_9_22_,15972,left,unsure
Hàng_Bông_-_Hàng_Trống__16h_15_9_22_,24101,left,straight
Phố_Huế_Trần_Khát_Chân__12h_21_9_22_,90619,right,unsure
Phố_Huế_Trần_Khát_Chân__7h30_13_9_22_,104470,right,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_5_9_22_,55284,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_14_9_22_,104829,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_5_9_22_,51038,left,straight
Phố_Huế_Trần_Khát_Chân__7h30_8_9_22_,110849,left,left
Lý_Thường_Kiệt_-_Hàng_Bài__16h30_25_9_22_,67196,straight,straight
Hàng_Bông_-_Hàng_Trống__16h15_7_9_22_,21846,straight,straight
Cửa_Nam_-_Điện_Biên_Phủ__16h15_25_9_22_,3086,right,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_25_9_22_,54746,straight,straight
Láng_Hạ_-_Thái_Hà__16h_7_9_22_,48458,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h30_7_9_22_,67785,left,left
Phố_Huế_Trần_Khát_Chân__12h01_20_9_22_,80862,u_turn,unsure
Hàng_Bông_-_Hàng_Trống__16h_30_25_9_22_,25243,straight,straight
Cửa_Nam_-_Điện_Biên_Phủ__16h30_15_9_22_,4408,right,unsure
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,97890,left,left
Lý_Thường_Kiệt_-_Bà_Triệu__16h15_25_9_22_,57414,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_12_9_22_,103048,left,unsure
Lý_Thường_Kiệt_-_Hàng_Bài__16h_15_9_22_,68548,left,straight
Phố_Huế_Trần_Khát_Chân__7h30_28_9_22_,108936,left,left
Lý_Thường_Kiệt_-_Hàng_Bài__16h_15_9_22_,68422,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h30_25_9_22_,67014,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_7_9_22_,109059,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_13_9_22_,103526,left,straight
Láng_Hạ_-_Thái_Hà__16h15_15_9_22_,38793,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_11_9_22_,95109,right,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_25_9_22_,54757,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_28_9_22_,108039,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_7_9_22_,109345,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_12_9_22_,95889,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_7_9_22_,109089,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_5_9_22_,55853,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_15_9_22_,49579,straight,straight
Phố_Huế_Trần_Khát_Chân__12h01_19_9_22_,79399,left,unsure
Phố_Huế_Trần_Khát_Chân__12h_11_9_22_,86042,right,right
Hàng_Bông_-_Hàng_Trống__16h_25_9_22_,24489,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,98514,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_13_9_22_,97641,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_28_9_22_,108827,left,unsure
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_5_9_22_,51231,right,right
Hàng_Bông_-_Hàng_Trống__16h_25_9_22_,24453,right,straight
Phố_Huế_Trần_Khát_Chân__17h30_12_9_22_,95806,right,left
Lý_Thường_Kiệt_-_Hàng_Bài__16h_15_9_22_,68302,straight,straight
Láng_Hạ_-_Thái_Hà__16h30_7_9_22_,44906,left,left
Phố_Huế_Trần_Khát_Chân__7h30_13_9_22_,103479,right,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_5_9_22_,55339,straight,unsure
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_25_9_22_,54532,right,straight
Phố_Huế_Trần_Khát_Chân__7h30_14_9_22_,105362,straight,straight
Phố_Huế_Trần_Khát_Chân__12h01_20_9_22_,81154,right,right
Phố_Huế_Trần_Khát_Chân__17h30_18_9_22_,99932,right,unsure
Phố_Huế_Trần_Khát_Chân__7h30_13_9_22_,104019,straight,left
Láng_Hạ_-_Thái_Hà_1__16h_15_9_22_,34875,straight,straight
Hàng_Bông_-_Hàng_Trống__16h15_7_9_22_,21433,straight,straight
Hàng_Bông_-_Hàng_Trống__16h16_15_9_22_,22170,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_21_9_22_,90493,right,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h_15_9_22_2_,61401,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_14_9_22_,104656,right,unsure
Lý_Thường_Kiệt_-_Hàng_Bài__16h15_15_9_22_,64600,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_10_9_22_,84396,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_9_9_22_,111421,left,left
Hàng_Bông_-_Hàng_Trống__16h16_15_9_22_,22456,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_28_9_22_,108036,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_28_9_22_,108025,straight,straight
Hàng_Bông_-_Hàng_Trống__16h_15_9_22_,24181,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_13_9_22_,104376,u_turn,unsure
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,98080,right,straight
Nguyễn_Thái_Học_-_Tôn_Đức_Thắng__16h_15_9_22_,73654,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_20_9_22_,101782,left,unsure
Giảng_Võ_-_Láng_Hạ__16h_30_7_9_22_,18152,left,unsure
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_25_9_22_,59010,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_17_9_22_,88206,straight,right
Phố_Huế_Trần_Khát_Chân__7h30_9_9_22_,111836,straight,unsure
Phố_Huế_Trần_Khát_Chân__12h_10_9_22_,84062,right,unsure
Phố_Huế_Trần_Khát_Chân__17h30_12_9_22_,95784,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_25_9_22_,55096,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_12_9_22_,95470,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_17_9_22_,87724,left,left
Láng_Hạ_-_Thái_Hà_1__16h30_7_9_22_,32989,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h_15_9_22_,68179,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_10_9_22_,84262,straight,straight
Láng_Hạ_-_Thái_Hà__16h15_25_9_22_,39476,u_turn,unsure
Lý_Thường_Kiệt_-_Hàng_Bài__16h_30_15_9_22_,70442,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h_15_9_22_,68433,left,straight
Phố_Huế_Trần_Khát_Chân__7h30_28_9_22_,108683,right,unsure
Láng_Hạ_-_Thái_Hà_1__16h_15_9_22_,34882,straight,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_5_9_22_,59896,right,straight
Láng_Hạ_-_Thái_Hà__16h30_15_9_22_,42775,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h30_7_9_22_,33377,left,left
Phố_Huế_Trần_Khát_Chân__12h_18_9_22_,89745,right,unsure
Phố_Huế_Trần_Khát_Chân__12h01_19_9_22_,80069,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h30_15_9_22_,30752,straight,straight
Giảng_Võ_-_Láng_Hạ__16h_7_9_22_,19420,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h_7_9_22_,37226,left,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_5_9_22_,50998,left,straight
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,98384,straight,straight
Cửa_Nam_-_Điện_Biên_Phủ__16h30_25_9_22_,5277,straight,straight
Giao_thông_nội_đô_HN__20221003-102452_,9270,u_turn,unsure
Cửa_Nam_-_Điện_Biên_Phủ__16h15_15_9_22_,1782,right,right
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,98114,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_7_9_22_,90974,left,left
Nguyễn_Thái_Học_-_Tôn_Đức_Thắng__16h_15_9_22_,73055,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h30_7_9_22_,32970,left,left
Cửa_Nam_-_Điện_Biên_Phủ__16h30_25_9_22_,5206,right,unsure
Láng_Hạ_-_Thái_Hà__16h_25_9_22_,48045,straight,straight
Láng_Hạ_-_Thái_Hà__16h_25_9_22_,47957,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_11_9_22_,94914,left,left
Láng_Hạ_-_Thái_Hà__16h15_7_9_22_,41028,straight,straight
Giảng_Võ_-_Láng_Hạ__16h_15_9_22_,14845,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,98105,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_11_9_22_,85361,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_11_9_22_,85690,left,unsure
Phố_Huế_Trần_Khát_Chân__7h30_7_9_22_,109057,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_18_9_22_,89073,left,straight
Cửa_Nam_-_Điện_Biên_Phủ__16h15_15_9_22_,1888,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_20_9_22_,101786,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_15_9_22_,54169,straight,straight
Giảng_Võ_-_Láng_Hạ__16h_30_15_9_22_,17793,straight,left
Giảng_Võ_-_Láng_Hạ__16h30_25_9_22_,14024,straight,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_15_9_22_,58468,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h15_15_9_22_,64493,left,left
Phố_Huế_Trần_Khát_Chân__17h30_18_9_22_,99860,right,straight
Giảng_Võ_-_Láng_Hạ__16h_15_9_22_,15429,right,unsure
Láng_Hạ_-_Thái_Hà__16h15_25_9_22_,40078,left,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_25_9_22_,59021,left,unsure
Phố_Huế_Trần_Khát_Chân__12h01_19_9_22_,80063,left,left
Láng_Hạ_-_Thái_Hà__16h30_15_9_22_,42537,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h15_25_9_22_,27391,right,unsure
Lý_Thường_Kiệt_-_Bà_Triệu__16h_5_9_22_,63122,straight,straight
Ngã_tư_Xã_Đàn_Phạm_Ngọc_Thạch__7h30_18_9_22_,78056,right,right
Lý_Thường_Kiệt_-_Bà_Triệu__16h_15_9_22_2_,61380,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_9_9_22_,111796,straight,straight
Phố_Huế_Trần_Khát_Chân__12h_10_9_22_,84271,left,unsure
Láng_Hạ_-_Thái_Hà__16h30_25_9_22_,43917,right,unsure
Láng_Hạ_-_Thái_Hà__16h30_15_9_22_,42420,straight,straight
